Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
2,4,26,Male,RNAi,0.571428571,A,50893
2,3,26,Male,RNAi,0.857142857,A,50893
2,1,27,Male,Control,1.142857143,A,50893
2,3,27,Male,Control,2.571428571,A,50893
2,2,27,Male,Control,1.428571429,A,50893
2,5,27,Male,Control,0.857142857,A,50893
2,4,27,Male,Control,1.142857143,A,50893
2,1,28,Female,Control,8,A,50893
2,5,28,Female,Control,8,A,50893
2,2,28,Female,Control,6,A,50893
2,3,28,Female,Control,8,A,50893
2,4,28,Female,Control,8,A,50893
2,1,30,Male,RNAi,2,A,50893
2,2,30,Male,RNAi,1.714285714,A,50893
2,5,30,Male,RNAi,1.714285714,A,50893
2,3,30,Male,RNAi,1.428571429,A,50893
2,4,30,Male,RNAi,2,A,50893
2,1,31,Female,RNAi,3.081632653,A,50893
2,2,31,Female,RNAi,2.102040816,A,50893
2,5,31,Female,RNAi,2.428571429,A,50893
2,3,31,Female,RNAi,3.734693878,A,50893
2,4,31,Female,RNAi,3.081632653,A,50893
2,1,32,Female,Control,8,A,50893
2,2,32,Female,Control,8,A,50893
2,5,32,Female,Control,4.571428571,A,50893
2,3,32,Female,Control,8,A,50893
2,4,32,Female,Control,8,A,50893
2,5,33,Female,RNAi,2.571428571,A,50893
2,3,33,Female,RNAi,0.571428571,A,50893
2,1,33,Female,RNAi,1.142857143,A,50893
2,4,33,Female,RNAi,2,A,50893
2,2,33,Female,RNAi,1.714285714,A,50893
2,4,34,Male,RNAi,1.12244898,A,50893
2,2,34,Male,RNAi,0.571428571,A,50893
2,5,34,Male,RNAi,0.857142857,A,50893
2,3,34,Male,RNAi,1.142857143,A,50893
2,1,34,Male,RNAi,1.142857143,A,50893
2,5,35,Male,Control,2,A,50893
2,3,35,Male,Control,2,A,50893
2,1,35,Male,Control,1.714285714,A,50893
2,4,35,Male,Control,1.142857143,A,50893
2,2,35,Male,Control,2.571428571,A,50893
2,5,36,Female,Control,8,A,50893
2,1,36,Female,Control,8,A,50893
2,4,36,Female,Control,6,A,50893
2,2,36,Female,Control,8,A,50893
2,3,36,Female,Control,8,A,50893
2,5,37,Male,Control,2.285714286,A,50893
2,4,37,Male,Control,0.857142857,A,50893
2,1,37,Male,Control,1.714285714,A,50893
2,2,37,Male,Control,1.142857143,A,50893
2,3,37,Male,Control,0.857142857,A,50893
2,5,38,Male,RNAi,0.571428571,A,50893
2,3,38,Male,RNAi,1.142857143,A,50893
2,4,38,Male,RNAi,0.857142857,A,50893
2,1,38,Male,RNAi,1.142857143,A,50893
2,2,38,Male,RNAi,1.428571429,A,50893
2,3,39,Female,RNAi,1.142857143,A,50893
2,5,39,Female,RNAi,3.142857143,A,50893
2,2,39,Female,RNAi,1.428571429,A,50893
2,1,39,Female,RNAi,2,A,50893
2,4,39,Female,RNAi,1.142857143,A,50893
2,5,40,Female,Control,8,A,50893
2,2,40,Female,Control,8,A,50893
2,3,40,Female,Control,8,A,50893
2,4,40,Female,Control,8,A,50893
2,1,40,Female,Control,8,A,50893
2,5,41,Female,Control,6,A,50893
2,4,41,Female,Control,6,A,50893
2,3,41,Female,Control,6,A,50893
2,2,41,Female,Control,8,A,50893
2,1,41,Female,Control,4.571428571,A,50893
2,4,42,Female,RNAi,3.081632653,A,50893
2,5,42,Female,RNAi,1.12244898,A,50893
2,3,42,Female,RNAi,3.081632653,A,50893
2,1,42,Female,RNAi,2.102040816,A,50893
2,2,42,Female,RNAi,1.775510204,A,50893
2,4,43,Male,Control,3.142857143,A,50893
2,3,43,Male,Control,2,A,50893
2,5,43,Male,Control,2,A,50893
2,2,43,Male,Control,0.857142857,A,50893
2,1,43,Male,Control,1.428571429,A,50893
2,1,44,Male,RNAi,2.102040816,A,50893
2,2,44,Male,RNAi,1.448979592,A,50893
2,4,44,Male,RNAi,1.448979592,A,50893
2,5,44,Male,RNAi,0.795918367,A,50893
2,3,44,Male,RNAi,3.081632653,A,50893
2,5,45,Female,RNAi,5.040816327,A,50893
2,1,45,Female,RNAi,1.775510204,A,50893
2,4,45,Female,RNAi,5.040816327,A,50893
2,2,45,Female,RNAi,2.428571429,A,50893
2,3,45,Female,RNAi,3.734693878,A,50893
2,4,46,Female,Control,8,A,50893
2,5,46,Female,Control,6,A,50893
2,3,46,Female,Control,6,A,50893
2,1,46,Female,Control,6,A,50893
2,2,46,Female,Control,6,A,50893
2,3,47,Male,RNAi,1.428571429,A,50893
2,4,47,Male,RNAi,2,A,50893
2,2,47,Male,RNAi,2.857142857,A,50893
2,5,47,Male,RNAi,2.857142857,A,50893
2,1,47,Male,RNAi,0.857142857,A,50893
2,3,48,Male,Control,2,A,50893
2,1,48,Male,Control,6,A,50893
2,2,48,Male,Control,4.285714286,A,50893
2,4,48,Male,Control,1.142857143,A,50893
2,5,48,Male,Control,0.285714286,A,50893
3,1,1,Male,RNAi,0.857142857,A,50893
3,2,1,Male,RNAi,0.857142857,A,50893
3,4,1,Male,RNAi,1.142857143,A,50893
3,5,1,Male,RNAi,2.857142857,A,50893
3,3,1,Male,RNAi,2,A,50893
3,5,2,Female,Control,8,A,50893
3,1,2,Female,Control,4.285714286,A,50893
3,4,2,Female,Control,8,A,50893
3,2,2,Female,Control,6,A,50893
3,3,2,Female,Control,8,A,50893
3,4,3,Male,Control,2.571428571,A,50893
3,5,3,Male,Control,2.857142857,A,50893
3,3,3,Male,Control,2,A,50893
3,1,3,Male,Control,2,A,50893
3,2,3,Male,Control,2.571428571,A,50893
3,3,4,Female,RNAi,2.571428571,A,50893
3,4,4,Female,RNAi,3.142857143,A,50893
3,2,4,Female,RNAi,3.714285714,A,50893
3,5,4,Female,RNAi,3.714285714,A,50893
3,1,4,Female,RNAi,3.428571429,A,50893
3,3,5,Female,RNAi,1.775510204,A,50893
3,1,5,Female,RNAi,1.12244898,A,50893
3,2,5,Female,RNAi,1.448979592,A,50893
3,4,5,Female,RNAi,2.102040816,A,50893
3,5,5,Female,RNAi,3.734693878,A,50893
3,5,6,Female,Control,4.285714286,A,50893
3,4,6,Female,Control,3.142857143,A,50893
3,1,6,Female,Control,3.142857143,A,50893
3,3,6,Female,Control,8,A,50893
3,2,6,Female,Control,4.285714286,A,50893
3,4,7,Male,Control,2.571428571,A,50893
3,5,7,Male,Control,2.285714286,A,50893
3,3,7,Male,Control,2.285714286,A,50893
3,1,7,Male,Control,1.428571429,A,50893
3,2,7,Male,Control,2.571428571,A,50893
3,5,8,Male,RNAi,1.448979592,A,50893
3,4,8,Male,RNAi,3.408163265,A,50893
3,3,8,Male,RNAi,1.448979592,A,50893
3,2,8,Male,RNAi,1.775510204,A,50893
3,1,8,Male,RNAi,2.428571429,A,50893
3,5,9,Male,Control,0.857142857,A,50893
3,2,9,Male,Control,0.571428571,A,50893
3,3,9,Male,Control,1.428571429,A,50893
3,4,9,Male,Control,1.142857143,A,50893
3,1,9,Male,Control,2.857142857,A,50893
3,2,10,Female,Control,1.428571429,A,50893
3,5,10,Female,Control,2.571428571,A,50893
3,4,10,Female,Control,1.428571429,A,50893
3,1,10,Female,Control,1.142857143,A,50893
3,3,10,Female,Control,3.142857143,A,50893
3,4,11,Male,RNAi,0.795918367,A,50893
3,5,11,Male,RNAi,0.795918367,A,50893
3,2,11,Male,RNAi,1.775510204,A,50893
3,3,11,Male,RNAi,1.448979592,A,50893
3,1,11,Male,RNAi,2.102040816,A,50893
3,3,12,Female,RNAi,1.142857143,A,50893
3,4,12,Female,RNAi,1.142857143,A,50893
3,5,12,Female,RNAi,1.142857143,A,50893
3,2,12,Female,RNAi,1.714285714,A,50893
3,1,12,Female,RNAi,1.142857143,A,50893
3,3,13,Female,Control,3.714285714,A,50893
3,4,13,Female,Control,2,A,50893
3,2,13,Female,Control,2.285714286,A,50893
3,5,13,Female,Control,3.714285714,A,50893
3,1,13,Female,Control,2.571428571,A,50893
